Position,2023 Median Pay (annual),2023 Median Pay (hourly),Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2023","Job Outlook, 2023-33","Employment Change, 2023-33"
Computer and Information Research Scientists,145080,69.75,Master's degree,None,None,36600,26.00%,9400
Computer Network Architects,129840,62.42,Bachelor's degree,5 years or more,None,177800,13.00%,23900
Computer Programmers,99700,47.94,Bachelor's degree,None,None,139400,-10.00%,-13400
Computer Support Specialists,60810,29.24,Other,None,Moderate-term on-the-job training,892000,6.00%,49300
Computer Systems Analysts,103800,49.9,Bachelor's degree,None,None,527200,11.00%,56500
Database Administrators and Architects,117450,56.46,Bachelor's degree,Other,None,141900,9.00%,13200
Information Security Analysts,120360,57.87,Bachelor's degree,Less than 5 years,None,180700,33.00%,59100
Network and Computer Systems Administrators,95360,45.84,Bachelor's degree,None,None,335400,-3.00%,-8800
"Software Developers, Quality Assurance Analysts, and Testers",130160,62.58,Bachelor's degree,None,None,1897100,17.00%,327900
Web Developers and Digital Designers,92750,44.59,Bachelor's degree,None,None,222600,8.00%,18600
Data Scientists,108020,51.93,Bachelor's degree,None,None,202900,36.00%,73100
